2022-08-14 11:08:345 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 11:08:605 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 11:08:979 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 11:08:902 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 11:08:370 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 12:08:481 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 12:08:493 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 12:08:931 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 19:08:833 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 19:08:396 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 19:08:780 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 19:08:985 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 19:08:544 INFO  TradePage :97 - Clicking on trade Button: [[ChromeDriver: chrome on WINDOWS (5394667126cfca52e3186accf880c284)] -> xpath: //a[@href='/trade']//div[@data-qa='aside__icon']//i[@data-qa='icon-wrapper__container']//*[name()='svg']]
2022-08-14 19:08:677 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 19:08:528 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 19:08:832 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 19:08:35 INFO  TradePage :97 - Clicking on trade Button: [[ChromeDriver: chrome on WINDOWS (180e66c37ccdf7312836896d65d208b8)] -> xpath: //a[@href='/trade']//div[@data-qa='aside__icon']//i[@data-qa='icon-wrapper__container']//*[name()='svg']]
2022-08-14 19:08:927 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 19:08:404 INFO  TradePage :98 - Clicking on trade Button: [[ChromeDriver: chrome on WINDOWS (2e22eec70c4e91ef6838cc7b41cc6680)] -> xpath: //a[@href='/trade']//div[@data-qa='aside__icon']//i[@data-qa='icon-wrapper__container']//*[name()='svg']]
2022-08-14 20:08:768 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 20:08:940 INFO  TradePage :99 - Clicking on trade Button: [[ChromeDriver: chrome on WINDOWS (94f6577e745d919c01e8283c54d2f585)] -> xpath: //a[@href='/trade']//div[@data-qa='aside__icon']//i[@data-qa='icon-wrapper__container']//*[name()='svg']]
2022-08-14 20:08:446 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 20:08:274 INFO  TradePage :100 - Clicking on trade Button: [[ChromeDriver: chrome on WINDOWS (cc53a41851b4c71d930301bc1cf45cd8)] -> xpath: //a[@href='/trade']//div[@data-qa='aside__icon']//i[@data-qa='icon-wrapper__container']//*[name()='svg']]
2022-08-14 20:08:405 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 20:08:749 INFO  TradePage :100 - Clicking on trade Button: [[ChromeDriver: chrome on WINDOWS (4c1a4ad77a752ca7afd6d810dd337a6e)] -> xpath: //a[@href='/trade']//div[@data-qa='aside__icon']//i[@data-qa='icon-wrapper__container']//*[name()='svg']]
2022-08-14 20:08:169 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 20:08:892 INFO  TradePage :102 - Clicking on trade Button: [[ChromeDriver: chrome on WINDOWS (18a50d6547402194aa38332064e67050)] -> xpath: //a[@href='/trade']//div[@data-qa='aside__icon']//i[@data-qa='icon-wrapper__container']//*[name()='svg']]
2022-08-14 20:08:295 INFO  ManageDriver :31 - Launching Chrome Browser
